id_pedido,categoria_producto,region_cliente,metodo_pago,precio_unitario,cantidad,tiempo_envio_dias,satisfaccion_cliente
38,Deportes,Centro,Tarjeta,51.66,4,3.6,4.7
39,Hogar,Norte,Transferencia,83.94,3,4.0,4.7
40,Electrónica,Centro,Débito,17.41,1,0.2,5.3
41,Hogar,Norte,Transferencia,41.58,3,4.4,6.0
42,Hogar,Centro,Transferencia,51.38,2,2.0,3.1
43,Ropa,Centro,Tarjeta,43.05,3,3.1,3.6
44,Hogar,Sur,Transferencia,81.32,1,1.6,5.5
45,Ropa,Sur,Transferencia,30.98,3,4.9,3.7
46,Deportes,Sur,Transferencia,65.47,2,4.1,4.6
47,Deportes,Centro,Débito,23.32,1,1.7,3.6
48,Electrónica,Sur,Tarjeta,54.78,5,3.8,4.6
49,Hogar,Centro,Débito,4.5,1,7.3,3.8
50,Electrónica,Sur,Transferencia,28.88,1,3.5,4.9
51,Electrónica,Sur,Transferencia,31.08,3,3.0,2.8
52,Hogar,Norte,Débito,69.2,4,3.7,3.0
53,Electrónica,Centro,Débito,34.06,1,3.2,3.3
54,Hogar,Sur,Tarjeta,51.23,2,2.6,3.8
55,Electrónica,Centro,Tarjeta,33.61,4,4.1,5.6
56,Hogar,Centro,Transferencia,52.38,5,5.0,4.2
57,Electrónica,Centro,Débito,61.07,3,4.5,4.1
58,Ropa,Sur,Débito,43.11,1,3.2,4.6
59,Deportes,Sur,Transferencia,30.61,1,5.9,4.2
60,Ropa,Sur,Tarjeta,41.89,1,1.8,3.9
61,Electrónica,Norte,Tarjeta,27.63,2,2.6,3.0
62,Hogar,Centro,Débito,60.57,5,3.4,3.8
63,Ropa,Centro,Débito,56.02,3,3.0,2.8
64,Deportes,Norte,Débito,34.72,2,3.4,4.0
65,Electrónica,Centro,Tarjeta,50.56,1,3.6,5.6
66,Hogar,Norte,Transferencia,14.46,3,2.4,4.6
67,Electrónica,Norte,Tarjeta,16.53,2,3.2,3.9
68,Deportes,Sur,Tarjeta,42.17,4,2.1,5.5
69,Electrónica,Sur,Transferencia,55.55,2,2.9,5.3
70,Ropa,Norte,Tarjeta,32.23,4,1.9,4.0
71,Deportes,Sur,Tarjeta,37.14,1,2.3,5.1
72,Ropa,Norte,Débito,29.63,4,2.9,3.7
73,Electrónica,Centro,Débito,42.84,3,3.1,4.6
74,Hogar,Norte,Tarjeta,53.24,3,1.5,5.5
75,Deportes,Centro,Débito,66.84,3,2.7,3.9
76,Electrónica,Centro,Débito,74.86,3,1.9,4.5
77,Hogar,Sur,Tarjeta,59.61,1,2.6,4.4
78,Deportes,Sur,Débito,43.25,1,4.3,4.8
79,Deportes,Sur,Transferencia,36.09,1,1.6,5.2
80,Electrónica,Sur,Tarjeta,49.93,3,2.5,3.6
81,Deportes,Centro,Débito,83.07,2,1.5,4.2
82,Electrónica,Centro,Débito,42.17,3,6.0,4.8
83,Electrónica,Sur,Tarjeta,55.07,3,2.2,5.6
84,Hogar,Sur,Transferencia,37.65,3,2.8,4.7
85,Electrónica,Sur,Tarjeta,63.83,2,2.7,3.8
86,Electrónica,Centro,Transferencia,33.17,3,4.2,4.5
87,Deportes,Sur,Tarjeta,52.38,4,2.6,3.5
88,Ropa,Centro,Tarjeta,9.89,3,3.0,3.1
89,Deportes,Norte,Tarjeta,48.18,2,2.1,3.9
90,Hogar,Norte,Transferencia,43.06,3,3.9,3.0
91,Electrónica,Sur,Transferencia,96.42,2,3.5,4.0
92,Deportes,Sur,Transferencia,23.64,3,4.5,4.1
93,Hogar,Norte,Débito,60.71,2,0.8,3.3
94,Hogar,Centro,Transferencia,52.02,4,2.0,3.3
95,Deportes,Sur,Transferencia,23.91,3,5.5,3.6
96,Electrónica,Centro,Transferencia,41.82,1,5.5,4.5
97,Electrónica,Sur,Tarjeta,41.82,3,2.3,5.5
98,Deportes,Sur,Transferencia,38.8,5,2.2,4.7
99,Electrónica,Norte,Débito,58.37,4,4.2,3.7
100,Hogar,Norte,Tarjeta,35.88,2,2.8,2.4
101,Ropa,Sur,Débito,49.81,4,4.2,4.3
102,Ropa,Sur,Transferencia,70.09,3,0.9,5.3
103,Hogar,Norte,Transferencia,56.6,1,4.1,5.1
104,Ropa,Sur,Transferencia,50.44,1,5.5,4.5
105,Ropa,Sur,Tarjeta,56.58,2,3.1,4.7
106,Hogar,Centro,Transferencia,44.93,2,5.3,3.2
107,Electrónica,Norte,Débito,50.2,1,1.7,3.8
108,Electrónica,Sur,Tarjeta,16.29,1,2.7,4.2
109,Hogar,Norte,Tarjeta,26.62,2,2.5,3.5
110,Hogar,Centro,Débito,54.58,1,5.2,4.8
111,Hogar,Norte,Débito,14.96,5,4.3,4.1
112,Ropa,Centro,Transferencia,37.57,1,2.3,4.7
113,Electrónica,Norte,Tarjeta,3.78,1,4.2,4.5
114,Deportes,Norte,Débito,50.78,1,2.7,5.1
115,Hogar,Norte,Tarjeta,40.4,5,3.5,3.2
116,Electrónica,Sur,Transferencia,64.71,1,4.7,4.1
117,Ropa,Sur,Débito,70.85,3,2.4,4.2
118,Ropa,Sur,Débito,53.74,2,3.8,4.5
119,Electrónica,Centro,Tarjeta,64.53,3,3.0,5.0
120,Electrónica,Centro,Tarjeta,36.17,3,2.1,3.5
121,Electrónica,Centro,Transferencia,22.16,5,5.3,3.7
122,Hogar,Centro,Débito,64.36,2,5.1,4.9
123,Deportes,Centro,Transferencia,59.82,5,4.0,4.1
124,Hogar,Sur,Débito,58.23,5,2.0,3.2
125,Ropa,Norte,Débito,32.68,4,3.9,3.1
126,Hogar,Centro,Débito,62.45,2,2.3,5.2
127,Deportes,Sur,Débito,6.74,4,2.8,5.1
128,Ropa,Centro,Tarjeta,44.64,5,0.6,4.7
129,Ropa,Sur,Transferencia,21.5,5,3.5,3.5
130,Hogar,Norte,Débito,46.01,5,4.6,3.4
131,Hogar,Centro,Débito,22.81,3,2.9,3.0
132,Ropa,Centro,Tarjeta,46.71,2,4.2,3.8
133,Electrónica,Sur,Tarjeta,2.95,2,3.4,4.8
134,Hogar,Centro,Débito,16.25,1,0.2,4.9
135,Hogar,Sur,Transferencia,9.02,4,1.8,5.6
136,Deportes,Norte,Transferencia,83.13,3,1.4,3.2
137,Ropa,Sur,Transferencia,33.72,5,3.8,3.8
138,Electrónica,Centro,Transferencia,70.49,3,4.4,4.5
139,Electrónica,Norte,Tarjeta,38.7,4,4.8,3.4
140,Deportes,Norte,Transferencia,55.25,4,3.4,3.4
141,Deportes,Centro,Transferencia,20.79,5,2.3,5.7
142,Ropa,Sur,Tarjeta,30.25,4,4.2,3.2
143,Deportes,Sur,Débito,24.65,1,2.7,4.0
144,Deportes,Centro,Débito,40.4,1,3.5,3.1
145,Ropa,Norte,Débito,24.02,5,4.1,5.2
146,Ropa,Sur,Transferencia,16.25,4,1.5,3.6
147,Deportes,Sur,Débito,66.11,4,3.4,4.5
148,Electrónica,Norte,Transferencia,49.55,4,0.8,4.5
149,Hogar,Sur,Transferencia,4.2,5,2.0,4.4
150,Ropa,Centro,Transferencia,41.39,5,3.2,4.2
151,Ropa,Sur,Débito,67.54,5,1.8,4.8
152,Ropa,Norte,Tarjeta,61.42,3,3.4,3.7
153,Ropa,Norte,Débito,28.42,2,2.0,3.2
154,Electrónica,Norte,Tarjeta,68.43,2,4.5,4.2
155,Deportes,Centro,Transferencia,60.72,5,2.1,3.1
156,Hogar,Sur,Débito,69.34,3,2.3,3.4
157,Hogar,Centro,Débito,53.37,1,3.8,4.3
158,Electrónica,Sur,Transferencia,62.75,5,2.9,3.8
159,Ropa,Norte,Débito,40.78,2,4.0,3.9
160,Deportes,Norte,Tarjeta,28.06,4,2.8,2.9
161,Ropa,Norte,Transferencia,62.78,1,2.5,3.7
162,Deportes,Centro,Tarjeta,33.46,4,2.6,4.5
163,Ropa,Sur,Tarjeta,73.11,2,2.4,4.6
164,Ropa,Centro,Transferencia,59.47,3,3.3,4.1
165,Electrónica,Centro,Tarjeta,12.62,2,3.2,5.0
166,Ropa,Sur,Débito,36.89,2,3.7,4.3
167,Ropa,Centro,Débito,40.36,1,2.7,3.5
168,Hogar,Norte,Tarjeta,71.52,5,4.0,3.4
169,Ropa,Sur,Débito,66.38,4,4.6,5.0
170,Ropa,Norte,Débito,65.29,4,2.9,3.9
171,Ropa,Centro,Transferencia,26.82,1,3.8,3.4
172,Electrónica,Sur,Débito,56.83,1,4.0,3.3
173,Hogar,Norte,Débito,21.53,4,2.4,4.7
174,Hogar,Sur,Débito,40.23,4,3.1,5.6
175,Deportes,Norte,Débito,58.37,1,4.0,4.0
176,Deportes,Sur,Débito,29.4,4,1.3,4.9
177,Deportes,Sur,Tarjeta,55.11,4,2.2,5.0
178,Ropa,Norte,Tarjeta,64.49,5,2.5,5.4
179,Ropa,Sur,Transferencia,52.2,5,1.2,3.6
180,Electrónica,Centro,Débito,79.42,1,3.2,3.0
181,Hogar,Norte,Tarjeta,72.2,3,2.2,4.6
182,Electrónica,Sur,Transferencia,21.54,3,3.4,4.3
183,Electrónica,Norte,Transferencia,53.5,2,3.5,4.2
184,Ropa,Norte,Tarjeta,46.54,4,2.6,4.3
185,Deportes,Centro,Tarjeta,33.84,1,2.3,3.7
186,Hogar,Sur,Débito,15.91,5,2.7,4.6
187,Ropa,Norte,Débito,27.11,1,2.5,3.9
188,Electrónica,Sur,Débito,53.65,5,4.2,3.2
189,Hogar,Centro,Transferencia,27.16,3,2.6,4.9
190,Deportes,Sur,Transferencia,15.02,5,2.2,5.0
191,Ropa,Centro,Tarjeta,30.32,1,2.2,4.2
192,Hogar,Norte,Débito,32.36,1,2.3,4.0
193,Electrónica,Norte,Tarjeta,27.15,4,3.2,3.5
194,Electrónica,Centro,Transferencia,46.19,5,2.3,4.3
195,Deportes,Centro,Tarjeta,64.58,5,3.8,3.6
196,Electrónica,Norte,Transferencia,45.28,2,4.6,4.1
197,Ropa,Sur,Transferencia,58.85,4,3.0,4.4
198,Electrónica,Centro,Débito,58.23,5,2.7,4.1
199,Hogar,Norte,Tarjeta,53.97,5,3.2,5.2
200,Deportes,Norte,Transferencia,55.48,3,4.3,4.6
201,Hogar,Centro,Débito,50.7,4,2.3,4.0
202,Electrónica,Centro,Tarjeta,40.03,2,2.8,5.3
203,Deportes,Centro,Débito,76.14,4,3.6,6.6
204,Deportes,Centro,Transferencia,42.16,2,1.5,3.0
205,Deportes,Centro,Transferencia,11.23,3,2.2,4.3
206,Deportes,Norte,Tarjeta,57.0,5,2.7,5.6
207,Deportes,Norte,Débito,54.56,3,2.6,5.1
208,Deportes,Centro,Tarjeta,22.03,2,3.0,4.0
209,Deportes,Centro,Débito,28.0,3,3.8,3.7
210,Hogar,Sur,Transferencia,68.62,5,4.2,4.9
211,Deportes,Norte,Débito,42.35,5,4.1,5.0
212,Hogar,Norte,Débito,38.74,2,3.8,4.5
213,Hogar,Sur,Tarjeta,44.02,3,4.2,5.4
214,Hogar,Norte,Débito,52.99,1,3.2,2.9
215,Hogar,Centro,Débito,48.06,1,1.9,3.9
216,Hogar,Centro,Débito,5.7,4,2.5,3.6
217,Deportes,Centro,Tarjeta,29.6,4,3.8,5.8
218,Hogar,Centro,Débito,56.2,4,1.8,5.3
219,Deportes,Sur,Transferencia,30.85,2,2.5,4.2
220,Ropa,Sur,Débito,86.3,1,2.2,3.4
221,Hogar,Centro,Débito,20.93,5,2.1,5.2
222,Hogar,Centro,Débito,42.2,2,4.1,3.4
223,Hogar,Centro,Tarjeta,58.23,2,2.9,4.3
224,Deportes,Centro,Débito,39.9,3,2.8,4.2
225,Electrónica,Sur,Transferencia,70.45,5,2.2,4.8
226,Electrónica,Sur,Tarjeta,27.07,5,4.5,3.0
227,Deportes,Centro,Débito,22.69,4,2.8,4.7
228,Hogar,Norte,Débito,24.84,1,3.7,3.7
229,Ropa,Norte,Débito,67.44,5,2.8,4.5
230,Deportes,Sur,Tarjeta,39.63,3,5.3,5.8
231,Hogar,Norte,Débito,58.55,5,2.2,3.7
232,Hogar,Sur,Transferencia,17.96,2,1.6,3.9
233,Deportes,Norte,Débito,64.94,1,2.0,4.3
234,Electrónica,Sur,Tarjeta,42.99,4,2.7,4.8
235,Ropa,Sur,Débito,39.27,1,3.2,3.5
236,Ropa,Centro,Débito,53.25,1,1.2,4.9
237,Hogar,Norte,Débito,57.64,4,2.3,3.9
238,Deportes,Sur,Transferencia,52.64,2,4.2,6.1
239,Deportes,Centro,Transferencia,15.26,3,3.9,4.4
240,Electrónica,Sur,Transferencia,24.85,2,2.5,4.6
241,Hogar,Norte,Tarjeta,40.26,4,2.5,3.5
242,Deportes,Sur,Transferencia,17.57,3,3.4,2.9
243,Hogar,Centro,Transferencia,49.91,1,4.7,2.2
244,Hogar,Sur,Tarjeta,34.58,4,2.9,4.7
245,Deportes,Sur,Transferencia,49.43,5,2.4,3.8
246,Ropa,Norte,Transferencia,16.42,2,1.4,3.7
247,Ropa,Centro,Tarjeta,30.25,3,3.9,5.2
248,Ropa,Norte,Débito,44.57,2,4.0,3.9
249,Hogar,Sur,Débito,64.01,1,3.2,2.2
250,Electrónica,Sur,Tarjeta,33.7,3,1.6,3.8
251,Deportes,Norte,Tarjeta,0.97,5,3.9,4.3
252,Hogar,Norte,Tarjeta,47.18,4,2.2,4.2
253,Ropa,Sur,Transferencia,50.31,4,4.0,4.2
254,Electrónica,Sur,Débito,79.82,4,1.1,4.1
255,Deportes,Norte,Transferencia,60.78,5,3.5,3.5
256,Deportes,Norte,Débito,28.9,3,4.2,4.9
257,Hogar,Centro,Transferencia,43.52,1,3.8,2.9
258,Deportes,Sur,Débito,73.52,2,4.0,4.4
259,Electrónica,Centro,Transferencia,67.34,3,3.1,5.8
260,Deportes,Sur,Débito,9.67,1,4.5,5.7
261,Electrónica,Centro,Tarjeta,69.93,5,3.0,4.4
262,Deportes,Norte,Débito,37.06,1,3.8,4.5
263,Deportes,Centro,Transferencia,65.34,5,3.9,3.9
264,Ropa,Centro,Débito,62.58,2,0.4,4.0
265,Deportes,Centro,Débito,37.36,4,1.8,6.1
266,Ropa,Norte,Tarjeta,62.94,3,1.6,4.6
267,Hogar,Norte,Tarjeta,48.06,5,2.0,5.3
268,Hogar,Centro,Transferencia,87.97,5,3.8,3.4
269,Ropa,Centro,Tarjeta,53.58,2,1.1,3.5
270,Deportes,Norte,Débito,33.99,3,3.7,3.8
271,Ropa,Norte,Tarjeta,9.79,2,2.8,4.7
272,Hogar,Centro,Tarjeta,12.52,3,1.9,3.9
273,Hogar,Sur,Tarjeta,60.67,3,1.9,4.3
274,Hogar,Norte,Tarjeta,17.47,1,0.9,4.3
275,Hogar,Norte,Tarjeta,87.71,2,0.4,4.4
276,Deportes,Centro,Débito,53.56,2,2.6,5.5
277,Deportes,Norte,Transferencia,45.39,3,2.1,5.7
278,Hogar,Sur,Transferencia,62.61,5,3.2,6.5
279,Hogar,Sur,Débito,32.1,5,2.2,4.5
280,Deportes,Norte,Débito,2.41,1,2.4,5.1
281,Electrónica,Sur,Tarjeta,22.79,3,3.1,4.0
282,Ropa,Norte,Débito,28.13,2,3.0,4.8
283,Ropa,Sur,Tarjeta,43.03,5,1.9,5.0
284,Electrónica,Norte,Transferencia,48.49,2,6.0,4.2
285,Deportes,Norte,Transferencia,30.31,4,3.1,4.9
286,Ropa,Norte,Tarjeta,0.29,1,2.4,5.4
287,Deportes,Sur,Tarjeta,49.67,5,3.0,3.9
288,Hogar,Sur,Transferencia,64.35,1,2.0,4.2
289,Ropa,Norte,Débito,15.04,5,3.7,4.2
290,Deportes,Sur,Transferencia,41.17,3,3.4,4.1
291,Deportes,Norte,Transferencia,39.51,4,4.2,3.8
292,Deportes,Norte,Transferencia,46.72,4,3.0,4.0
293,Deportes,Norte,Débito,57.5,5,3.7,3.3
294,Electrónica,Centro,Transferencia,23.97,2,3.5,3.8
295,Ropa,Centro,Tarjeta,70.16,5,4.2,5.1
296,Electrónica,Norte,Débito,58.54,5,4.0,5.5
297,Electrónica,Centro,Transferencia,53.58,1,4.2,4.1
298,Electrónica,Norte,Tarjeta,17.08,5,2.7,4.1
299,Electrónica,Centro,Transferencia,10.44,5,3.4,3.6
300,Deportes,Norte,Débito,36.37,4,3.6,5.1
301,Electrónica,Sur,Tarjeta,71.32,4,5.6,3.9
302,Electrónica,Sur,Débito,41.36,5,1.0,4.6
303,Deportes,Norte,Tarjeta,41.44,4,1.1,5.7
304,Deportes,Centro,Transferencia,33.03,5,2.7,3.3
305,Hogar,Sur,Débito,35.74,4,1.9,3.7
306,Ropa,Centro,Débito,30.02,2,4.9,4.6
307,Hogar,Sur,Tarjeta,41.82,3,3.7,4.8
308,Electrónica,Norte,Débito,30.0,3,2.9,4.6
309,Hogar,Centro,Tarjeta,73.33,2,2.6,4.4
310,Electrónica,Norte,Débito,46.24,1,1.0,3.0
311,Electrónica,Norte,Tarjeta,30.01,3,3.1,4.3
312,Hogar,Norte,Débito,49.62,3,3.9,2.6
313,Ropa,Norte,Transferencia,68.06,1,4.4,3.1
314,Deportes,Norte,Débito,26.4,5,2.7,3.5
315,Ropa,Sur,Débito,28.15,3,2.7,4.9
316,Hogar,Norte,Transferencia,28.63,3,3.6,4.1
317,Hogar,Sur,Transferencia,76.55,2,2.7,4.4
318,Electrónica,Centro,Tarjeta,77.76,3,3.6,4.9
319,Electrónica,Norte,Transferencia,47.68,2,3.3,6.4
320,Hogar,Norte,Tarjeta,18.74,3,1.5,3.7
321,Electrónica,Sur,Transferencia,61.38,3,2.8,4.2
322,Deportes,Centro,Tarjeta,51.38,4,5.4,4.1
323,Deportes,Norte,Tarjeta,35.99,3,2.7,3.8
324,Deportes,Centro,Tarjeta,30.06,4,5.1,5.5
325,Hogar,Centro,Transferencia,44.92,4,4.0,3.7
326,Hogar,Norte,Transferencia,19.63,3,5.0,3.8
327,Ropa,Centro,Tarjeta,60.61,5,2.6,3.2
328,Hogar,Centro,Débito,24.2,2,1.1,3.5
329,Hogar,Sur,Tarjeta,6.33,4,2.4,3.7
330,Hogar,Norte,Tarjeta,26.26,3,4.4,4.8
331,Ropa,Sur,Débito,19.82,5,1.9,5.0
332,Deportes,Norte,Débito,40.4,2,2.1,3.4
333,Deportes,Centro,Débito,27.92,4,5.0,4.9
334,Ropa,Centro,Débito,61.69,4,3.2,3.6
335,Hogar,Centro,Transferencia,51.33,4,3.7,4.8
336,Deportes,Norte,Tarjeta,80.77,4,1.5,3.2
337,Hogar,Norte,Transferencia,64.07,2,5.1,4.2
338,Electrónica,Sur,Débito,82.23,5,2.6,5.8
339,Deportes,Sur,Débito,16.49,1,4.1,4.0
340,Ropa,Norte,Débito,92.97,3,1.7,3.3
341,Electrónica,Norte,Débito,23.93,1,3.4,3.6
342,Electrónica,Sur,Transferencia,51.66,3,3.8,5.7
343,Hogar,Sur,Débito,76.06,3,1.7,3.3
344,Hogar,Norte,Débito,47.72,3,4.2,4.6
345,Deportes,Centro,Débito,83.22,1,2.6,3.0
346,Deportes,Norte,Tarjeta,34.63,1,3.4,3.6
347,Electrónica,Centro,Tarjeta,69.17,3,5.5,4.1
348,Ropa,Norte,Tarjeta,65.26,3,3.1,4.5
349,Electrónica,Centro,Débito,37.45,3,0.7,3.1
350,Deportes,Sur,Tarjeta,59.63,5,2.3,3.6
351,Electrónica,Norte,Transferencia,41.4,5,2.4,3.4
352,Electrónica,Centro,Tarjeta,103.9,5,2.0,3.8
353,Deportes,Norte,Débito,41.56,2,4.5,4.0
354,Electrónica,Centro,Tarjeta,14.94,3,5.2,4.4
355,Ropa,Norte,Débito,28.51,5,3.8,4.3
356,Ropa,Centro,Débito,13.1,4,2.7,5.4
357,Hogar,Sur,Tarjeta,63.08,1,2.4,4.5
358,Electrónica,Centro,Débito,45.65,5,3.3,3.4
359,Deportes,Centro,Transferencia,17.07,2,1.6,4.1
360,Hogar,Sur,Transferencia,6.48,5,1.9,3.2
361,Electrónica,Norte,Transferencia,67.89,5,2.6,4.6
362,Ropa,Norte,Débito,64.5,3,2.6,4.5
363,Hogar,Centro,Tarjeta,15.67,3,1.1,3.4
364,Ropa,Sur,Tarjeta,44.99,2,3.5,6.0
365,Ropa,Sur,Tarjeta,36.8,5,3.6,2.9
366,Ropa,Norte,Débito,30.63,1,1.5,4.9
367,Electrónica,Sur,Tarjeta,64.05,4,3.5,3.8
368,Electrónica,Sur,Transferencia,29.63,3,2.2,3.7
369,Hogar,Norte,Débito,72.5,3,3.2,4.4
370,Ropa,Centro,Transferencia,68.11,2,1.0,4.3
371,Electrónica,Norte,Tarjeta,21.24,2,2.1,3.3
372,Hogar,Centro,Débito,72.41,3,2.1,3.5
373,Deportes,Sur,Transferencia,43.31,3,2.7,3.4
374,Electrónica,Norte,Transferencia,60.17,3,1.7,4.0
375,Deportes,Norte,Débito,78.8,4,2.7,3.3
376,Ropa,Centro,Transferencia,51.45,4,2.6,4.4
377,Hogar,Centro,Tarjeta,46.79,2,3.2,5.2
378,Hogar,Centro,Transferencia,89.97,2,4.1,4.9
379,Deportes,Centro,Tarjeta,46.23,5,3.8,3.7
380,Ropa,Norte,Débito,62.58,4,3.2,4.8
381,Electrónica,Norte,Transferencia,42.1,1,1.8,4.3
382,Deportes,Sur,Débito,48.04,1,3.6,4.1
383,Ropa,Centro,Transferencia,43.78,3,2.7,4.2
384,Hogar,Norte,Transferencia,34.56,5,6.7,4.8
385,Deportes,Norte,Transferencia,77.37,1,4.2,3.3
386,Ropa,Norte,Tarjeta,56.28,5,3.9,5.2
387,Electrónica,Norte,Tarjeta,44.58,3,2.3,4.2
388,Deportes,Centro,Transferencia,27.38,1,4.2,2.7
389,Ropa,Norte,Débito,41.92,2,3.6,5.0
390,Electrónica,Sur,Tarjeta,19.44,3,2.1,4.9
391,Electrónica,Sur,Tarjeta,57.35,1,1.9,3.5
392,Electrónica,Norte,Débito,61.99,5,2.6,4.1
393,Deportes,Norte,Tarjeta,42.18,3,3.0,5.6
394,Electrónica,Sur,Tarjeta,49.69,2,4.9,4.2
395,Electrónica,Sur,Tarjeta,35.79,2,1.5,4.6
396,Electrónica,Sur,Transferencia,91.66,5,3.3,4.2
397,Electrónica,Norte,Tarjeta,36.7,5,2.8,5.8
398,Ropa,Norte,Tarjeta,29.37,2,1.0,3.6
399,Deportes,Centro,Débito,19.84,4,4.1,3.5
400,Hogar,Centro,Transferencia,54.55,3,1.8,4.7
401,Hogar,Centro,Débito,33.55,3,2.7,3.8
402,Deportes,Norte,Tarjeta,43.55,5,3.3,3.3
403,Hogar,Sur,Transferencia,31.8,2,5.5,3.0
404,Ropa,Centro,Débito,57.77,2,3.9,4.0
405,Deportes,Norte,Débito,59.37,3,3.4,3.1
406,Electrónica,Norte,Transferencia,10.69,3,3.0,2.9
407,Electrónica,Centro,Transferencia,39.68,2,2.9,3.8
408,Hogar,Centro,Tarjeta,48.4,3,3.1,4.1
409,Deportes,Centro,Transferencia,18.73,5,4.8,4.8
410,Ropa,Sur,Tarjeta,17.09,5,1.6,2.7
411,Ropa,Centro,Tarjeta,14.44,5,2.5,2.9
412,Ropa,Norte,Débito,30.03,3,3.7,5.2
413,Ropa,Centro,Débito,53.24,4,2.8,4.5
414,Ropa,Sur,Transferencia,34.09,2,5.3,4.7
415,Electrónica,Norte,Débito,31.09,3,3.5,4.6
416,Deportes,Centro,Tarjeta,31.55,3,1.8,3.9
417,Ropa,Sur,Débito,43.74,1,3.2,4.6
418,Electrónica,Centro,Débito,56.54,4,2.1,3.8
419,Ropa,Centro,Transferencia,34.3,2,2.7,3.5
420,Electrónica,Sur,Transferencia,42.63,1,0.9,5.3
421,Hogar,Sur,Transferencia,56.14,3,2.6,4.0
422,Deportes,Centro,Débito,31.08,3,2.8,3.7
423,Deportes,Centro,Transferencia,45.36,1,3.9,4.3
424,Deportes,Centro,Débito,34.95,2,2.0,3.7
425,Electrónica,Norte,Débito,52.52,1,5.1,5.0
426,Hogar,Norte,Débito,33.63,5,1.8,3.3
427,Ropa,Sur,Transferencia,43.24,4,3.1,4.9
428,Hogar,Centro,Débito,58.06,2,4.6,3.3
429,Deportes,Centro,Transferencia,52.95,4,2.4,3.5
430,Ropa,Norte,Transferencia,37.57,4,2.3,3.2
431,Deportes,Centro,Débito,62.16,5,4.2,3.4
432,Deportes,Centro,Tarjeta,42.06,1,2.0,5.3
433,Deportes,Centro,Débito,56.27,2,2.0,3.9
434,Hogar,Norte,Transferencia,75.88,1,2.4,3.4
435,Ropa,Norte,Tarjeta,54.36,5,3.0,3.8
436,Ropa,Centro,Transferencia,62.58,1,1.4,4.7
437,Deportes,Centro,Débito,32.82,5,3.7,5.2
438,Hogar,Norte,Débito,39.09,5,2.5,4.9
439,Ropa,Sur,Débito,43.11,2,3.3,4.0
440,Deportes,Norte,Tarjeta,24.15,5,0.1,3.7
441,Deportes,Norte,Débito,27.99,2,4.7,3.0
442,Hogar,Sur,Transferencia,71.62,3,2.7,4.0
443,Deportes,Sur,Débito,59.18,4,5.3,4.1
444,Hogar,Centro,Débito,45.69,2,1.1,4.6
445,Deportes,Centro,Débito,17.08,1,2.8,3.5
446,Ropa,Norte,Tarjeta,88.09,5,1.9,3.9
447,Hogar,Centro,Débito,51.79,1,2.7,3.3
448,Hogar,Sur,Transferencia,47.14,3,2.5,2.8
449,Hogar,Norte,Transferencia,53.48,5,2.7,4.3
450,Ropa,Centro,Tarjeta,23.04,5,3.1,5.2
